id,user_id,role_id
1,1,3
2,2,4
3,3,3
4,4,4
5,5,4
6,6,4
7,7,3
8,8,3
9,9,3
10,10,3
11,11,3
12,12,3
13,13,3
14,14,3
15,15,3
16,16,3
17,17,2
18,18,1
19,19,2
20,20,2
21,21,4
22,22,4
23,23,4
24,24,4
25,25,4
26,26,4
27,27,4
28,28,4
29,29,4
30,30,4
31,31,4
32,32,4
33,33,4
34,34,4
35,35,4
36,36,4
37,37,4
38,38,4
39,39,4
40,40,4
41,41,4
42,42,4
43,43,4
44,44,4
45,45,4
46,46,4
47,47,4
48,48,4
49,49,4
50,50,4
51,51,4
52,52,4
53,53,4
54,54,4
55,55,4
56,56,4
57,57,4
58,58,4
59,59,4
60,60,4
61,61,4
62,62,4
63,63,4
64,64,1
65,65,1
66,66,1
67,67,1
68,68,3
69,69,2
70,70,2
71,71,4
72,72,4
73,73,4
74,74,4
75,75,4
76,76,4
77,77,4
78,78,4
79,79,4
80,80,4
81,81,4
82,82,4
83,83,4
84,84,4
85,85,4
86,86,4
87,87,4
88,88,4
89,89,4
90,90,4
91,91,4
92,92,4
93,93,4
94,94,4
96,96,1
